,Date,Sunspots,Groups,Wolf
212,1862-05-01,7,1,17
213,1862-05-02,1,1,11
214,1862-05-05,4,1,14
215,1862-05-10,2,1,12
216,1862-05-13,1,1,11
217,1862-05-14,2,1,12
218,1862-05-17,5,1,15
219,1862-05-20,5,1,15
220,1862-05-21,1,1,11
221,1862-05-27,12,1,22
222,1862-05-28,3,1,13
223,1862-05-29,4,1,14
224,1862-05-31,7,1,17
225,1862-06-03,6,2,26
226,1862-06-04,2,1,12
227,1862-06-07,3,1,13
228,1862-06-09,5,1,15
229,1862-06-11,2,1,12
230,1862-06-12,1,1,11
231,1862-06-17,11,1,21
232,1862-06-18,5,1,15
233,1862-06-20,6,2,26
234,1862-06-21,2,1,12
235,1862-06-22,10,1,20
236,1862-06-26,5,1,15
237,1862-06-27,15,1,25
238,1862-06-29,10,1,20
239,1862-06-30,1,1,11
240,1862-07-02,12,1,22
241,1862-07-03,1,1,11
242,1862-07-10,12,1,22
243,1862-07-12,1,1,11
244,1862-07-13,5,1,15
245,1862-07-14,1,1,11
246,1862-07-15,4,1,14
247,1862-07-16,2,1,12
248,1862-07-17,1,1,11
249,1862-07-18,1,1,11
250,1862-07-23,6,1,16
251,1862-07-25,2,1,12
252,1862-07-29,15,2,35
253,1862-08-01,2,1,12
254,1862-08-03,2,2,22
255,1862-08-05,4,1,14
256,1862-08-06,3,1,13
257,1862-08-08,4,1,14
258,1862-08-10,12,2,32
259,1862-08-13,8,1,18
260,1862-08-15,1,1,11
261,1862-08-18,20,1,30
262,1862-08-19,1,1,11
263,1862-08-21,5,1,15
264,1862-08-22,7,1,17
265,1862-08-24,3,1,13
266,1862-08-25,1,1,11
267,1862-08-29,2,1,12
268,1862-09-04,1,1,11
269,1862-09-05,19,2,39
270,1862-09-13,17,1,27
271,1862-09-16,4,1,14
272,1862-09-18,1,1,11
273,1862-09-20,6,1,16
274,1862-09-21,1,1,11
275,1862-09-22,4,1,14
276,1862-09-24,1,1,11
277,1862-09-25,20,1,30
278,1862-09-27,3,1,13
279,1862-09-30,7,2,27
280,1862-10-01,10,1,20
281,1862-10-05,1,1,11
282,1862-10-08,7,1,17
283,1862-10-14,1,1,11
284,1862-10-19,9,1,19
285,1862-10-22,17,2,37
286,1862-10-23,4,1,14
287,1862-10-24,4,1,14
288,1862-10-27,2,1,12
289,1862-10-29,8,2,28
290,1862-10-30,1,1,11
291,1862-10-31,3,1,13
292,1862-11-01,2,1,12
293,1862-11-02,1,1,11
294,1862-11-04,8,2,28
295,1862-11-09,3,1,13
296,1862-11-10,6,1,16
297,1862-11-11,10,1,20
298,1862-11-15,13,1,23
299,1862-11-17,1,1,11
300,1862-11-20,1,1,11
301,1862-11-22,5,1,15
302,1862-11-23,2,1,12
303,1862-11-24,1,1,11
304,1862-11-25,4,1,14
305,1862-12-06,2,1,12
306,1862-12-11,4,1,14
307,1862-12-14,1,1,11
308,1862-12-16,7,1,17
309,1862-12-17,6,1,16
310,1862-12-19,1,1,11
311,1862-12-21,10,1,20
312,1862-12-25,9,1,19
313,1862-12-27,6,1,16
314,1862-12-30,9,1,19
315,1863-01-01,11,1,21
316,1863-01-04,31,1,41
317,1863-01-12,1,1,11
318,1863-01-19,9,1,19
319,1863-01-20,7,1,17
320,1863-01-23,1,1,11
321,1863-01-24,2,1,12
322,1863-01-26,4,1,14
323,1863-01-31,6,1,16
324,1863-02-01,5,1,15
325,1863-02-05,1,1,11
326,1863-02-06,6,1,16
327,1863-02-09,15,1,25
328,1863-02-15,7,2,27
329,1863-02-16,13,1,23
330,1863-02-21,2,1,12
331,1863-02-23,2,1,12
332,1863-02-24,6,1,16
333,1863-02-25,14,1,24
334,1863-02-28,5,1,15
335,1863-03-05,7,1,17
336,1863-03-06,3,2,23
337,1863-03-08,10,1,20
338,1863-03-11,2,1,12
339,1863-03-12,2,1,12
340,1863-03-13,4,1,14
341,1863-03-14,2,1,12
342,1863-03-19,2,1,12
343,1863-03-23,5,1,15
344,1863-03-24,3,1,13
345,1863-03-27,10,2,30
346,1863-03-29,15,1,25
347,1863-03-31,5,1,15
348,1863-04-02,11,1,21
349,1863-04-03,2,1,12
350,1863-04-05,1,1,11
351,1863-04-09,3,1,13
352,1863-04-13,1,1,11
353,1863-04-15,4,1,14
354,1863-04-18,7,2,27
355,1863-04-19,4,1,14
356,1863-04-20,3,1,13
357,1863-04-23,4,1,14
358,1863-04-29,8,2,28
359,1863-05-03,8,2,28
360,1863-05-04,6,2,26
361,1863-05-05,1,1,11
362,1863-05-09,1,1,11
363,1863-05-10,25,2,45
364,1863-05-15,4,3,34
365,1863-05-19,3,1,13
366,1863-05-28,1,1,11
367,1863-05-29,2,1,12
368,1863-05-30,4,3,34
369,1863-06-05,2,1,12
370,1863-06-06,1,1,11
371,1863-06-07,3,1,13
372,1863-06-11,4,1,14
373,1863-06-12,1,1,11
374,1863-06-16,7,1,17
375,1863-06-21,4,2,24
376,1863-06-22,1,1,11
377,1863-06-26,6,2,26
378,1863-06-27,7,2,27
379,1863-07-02,5,2,25
380,1863-07-03,1,1,11
381,1863-07-04,3,1,13
382,1863-07-05,8,3,38
383,1863-07-06,5,1,15
384,1863-07-07,3,1,13
385,1863-07-11,3,1,13
386,1863-07-12,6,1,16
387,1863-07-17,3,1,13
388,1863-07-18,1,1,11
389,1863-07-29,3,1,13
390,1863-08-01,1,1,11
391,1863-08-02,1,1,11
392,1863-08-03,10,1,20
393,1863-08-09,9,1,19
394,1863-08-14,4,1,14
395,1863-08-15,5,2,25
396,1863-08-16,1,1,11
397,1863-08-17,7,1,17
398,1863-08-18,2,1,12
399,1863-08-20,8,2,28
400,1863-08-22,2,1,12
401,1863-08-30,1,1,11
402,1863-09-03,1,1,11
403,1863-09-10,6,1,16
404,1863-09-12,1,1,11
405,1863-09-13,1,1,11
406,1863-09-15,1,1,11
407,1863-09-18,1,1,11
408,1863-09-26,5,2,25
409,1863-09-28,1,1,11
410,1863-10-04,9,1,19
411,1863-10-05,4,1,14
412,1863-10-09,1,1,11
413,1863-10-13,3,1,13
414,1863-10-21,7,2,27
415,1863-10-24,6,1,16
416,1863-10-28,5,1,15
417,1863-11-01,9,1,19
418,1863-11-02,1,1,11
419,1863-11-06,1,1,11
420,1863-11-11,6,1,16
421,1863-11-16,4,1,14
422,1863-11-18,6,2,26
423,1863-11-20,2,1,12
424,1863-11-22,9,2,29
425,1863-11-24,1,1,11
426,1863-11-27,2,1,12
427,1863-11-29,6,1,16
428,1863-11-30,8,1,18
429,1863-12-07,1,1,11
430,1863-12-12,5,1,15
431,1863-12-13,7,2,27
432,1863-12-15,1,1,11
433,1863-12-21,4,1,14
434,1863-12-22,9,2,29
435,1863-12-23,8,1,18
436,1863-12-25,9,1,19
437,1863-12-26,12,1,22
438,1863-12-27,13,2,33
439,1863-12-29,3,1,13
440,1864-01-02,3,1,13
441,1864-01-09,1,1,11
442,1864-01-12,1,1,11
443,1864-01-18,1,1,11
444,1864-01-21,13,3,43
445,1864-01-24,4,1,14
446,1864-01-29,14,1,24
447,1864-02-02,8,1,18
448,1864-02-05,1,1,11
449,1864-02-07,4,1,14
450,1864-02-08,1,1,11
451,1864-02-15,2,1,12
452,1864-02-16,9,1,19
453,1864-02-17,2,1,12
454,1864-02-18,2,1,12
455,1864-02-19,2,1,12
456,1864-02-23,1,1,11
457,1864-02-25,5,1,15
458,1864-02-27,6,2,26
459,1864-03-02,5,1,15
460,1864-03-03,1,1,11
461,1864-03-04,2,1,12
462,1864-03-06,2,2,22
463,1864-03-12,2,1,12
464,1864-03-13,8,1,18
465,1864-03-14,1,1,11
466,1864-03-15,1,1,11
467,1864-03-21,3,1,13
468,1864-03-22,4,1,14
469,1864-03-23,7,1,17
470,1864-03-25,1,1,11
471,1864-03-27,3,1,13
472,1864-03-29,9,1,19
473,1864-03-30,1,1,11
474,1864-04-02,6,2,26
475,1864-04-03,11,1,21
476,1864-04-09,2,1,12
477,1864-04-10,1,1,11
478,1864-04-11,1,1,11
479,1864-04-12,1,1,11
480,1864-04-14,8,1,18
481,1864-04-16,1,1,11
482,1864-04-17,2,2,22
483,1864-04-18,3,1,13
484,1864-04-20,5,1,15
