Date,G_N,S_N,SN_N,G_S,S_S,SN_S,G_Tot,S_Tot,SN_Tot,SN_V1,SN_V2,flag
1857-12-08,1,1,11,1,1,11,2,2,22,22,42,1
1857-12-11,,,,1,1,11,1,1,11,11,21,1
1857-12-19,4,21,61,1,12,22,5,33,83,68,129,1
1857-12-23,3,8,38,,,,3,8,38,42,80,1
1857-12-29,1,11,21,,,,1,11,21,19,36,1
1857-12-31,1,5,15,,,,1,5,15,15,28,1
1858-01-04,1,1,11,3,33,63,4,34,74,66,125,1
1858-01-09,1,1,11,2,37,57,3,38,68,84,160,1
1858-01-11,1,1,11,2,37,57,3,38,68,70,133,1
1858-01-12,,,,2,56,76,2,56,76,60,114,1
1858-01-13,1,1,11,2,61,81,3,62,92,56,106,1
1858-01-14,1,2,12,1,24,34,2,26,46,39,74,1
1858-01-17,,,,,,,0,0,0,0,0,1
1858-01-18,,,,1,7,17,1,7,17,14,27,1
1858-01-19,2,2,22,1,2,12,3,4,34,19,36,1
1858-01-21,1,1,11,,,,1,1,11,12,23,1
1858-01-22,1,3,13,,,,1,3,13,27,51,1
1858-01-23,1,6,16,,,,1,6,16,14,27,1
1858-01-24,1,5,15,1,1,11,2,6,26,14,27,1
1858-01-25,1,3,13,1,1,11,2,4,24,13,25,1
1858-01-26,1,3,13,1,2,12,2,5,25,29,55,1
1858-01-27,1,2,12,1,8,18,2,10,30,35,66,1
1858-01-28,1,2,12,1,10,20,2,12,32,24,46,1
1858-01-31,2,3,23,2,4,24,4,7,47,54,103,1
1858-02-01,1,5,15,2,5,25,3,10,40,57,108,1
1858-02-05,1,2,12,1,30,40,2,32,52,35,66,1
1858-02-08,,,,1,45,55,1,45,55,23,44,1
1858-02-09,1,1,11,1,48,58,2,49,69,23,44,1
1858-02-18,1,1,11,1,5,15,2,6,26,26,49,1
1858-02-19,2,2,22,2,8,28,4,10,50,66,125,1
1858-02-22,,,,2,8,28,2,8,28,62,118,1
1858-02-28,2,26,46,2,6,26,4,32,72,50,95,1
1858-03-04,4,26,66,1,31,41,5,57,107,102,194,1
1858-03-06,5,38,88,3,23,53,8,61,141,124,236,1
1858-03-07,5,34,84,3,22,52,8,56,136,63,120,1
1858-03-08,3,30,60,2,5,25,5,35,85,57,108,1
1858-03-10,1,7,17,3,6,36,4,13,53,40,76,1
1858-03-11,1,2,12,2,6,26,3,8,38,49,93,1
1858-03-12,1,2,12,1,8,18,2,10,30,40,76,1
1858-03-15,1,2,12,1,14,24,2,16,36,29,55,1
1858-03-16,2,2,22,2,19,39,4,21,61,67,127,1
1858-03-19,,,,3,35,65,3,35,65,87,165,1
1858-03-20,2,4,24,3,34,64,5,38,88,92,175,1
1858-03-21,2,4,24,3,34,64,5,38,88,76,144,1
1858-03-22,2,4,24,3,26,56,5,30,80,70,133,1
1858-03-23,2,8,28,2,21,41,4,29,69,57,108,1
1858-03-24,1,3,13,2,20,40,3,23,53,42,80,1
1858-03-26,1,2,12,2,19,39,3,21,51,44,84,1
1858-03-27,,,,1,7,17,1,7,17,17,32,1
1858-03-28,,,,1,1,11,1,1,11,14,27,1
1858-03-29,,,,1,1,11,1,1,11,12,23,1
1858-04-04,,,,2,3,23,2,3,23,13,25,1
1858-04-11,1,1,11,1,8,18,2,9,29,36,68,1
1858-04-12,1,1,11,1,9,19,2,10,30,46,87,1
1858-04-15,1,16,26,2,10,30,3,26,56,41,78,1
1858-04-16,1,5,15,3,6,36,4,11,51,41,78,1
1858-04-18,2,7,27,1,1,11,3,8,38,28,53,1
1858-04-19,1,6,16,3,8,38,4,14,54,52,99,1
1858-04-20,1,15,25,2,11,31,3,26,56,54,103,1
1858-04-21,1,14,24,2,7,27,3,21,51,31,59,1
1858-04-22,1,13,23,2,10,30,3,23,53,45,85,1
1858-04-24,,,,2,19,39,2,19,39,42,80,1
1858-04-25,,,,2,16,36,2,16,36,36,68,1
1858-04-26,,,,2,26,46,2,26,46,50,95,1
1858-04-28,1,1,11,3,23,53,4,24,64,49,93,1
1858-05-03,1,4,14,2,35,55,3,39,69,47,89,1
1858-05-05,1,4,14,1,34,44,2,38,58,50,95,1
1858-05-07,1,5,15,1,1,11,2,6,26,30,57,1
1858-05-09,1,3,13,,,,1,3,13,8,15,1
1858-05-10,,,,2,4,24,2,4,24,45,85,1
1858-05-13,,,,1,13,23,1,13,23,15,28,1
1858-05-16,1,3,13,1,7,17,2,10,30,23,44,1
1858-05-18,1,9,19,2,5,25,3,14,44,47,89,1
1858-05-19,1,2,12,3,6,36,4,8,48,56,106,1
1858-05-21,,,,2,11,31,2,11,31,36,68,1
1858-05-23,,,,2,28,48,2,28,48,36,68,1
1858-05-26,1,6,16,4,16,56,5,22,72,89,169,1
1858-05-29,1,10,20,4,16,56,5,26,76,87,165,1
1858-05-30,1,16,26,3,20,50,4,36,76,48,91,1
1858-05-31,1,9,19,3,20,50,4,29,69,72,137,1
1858-06-03,,,,3,24,54,3,24,54,73,139,1
1858-06-04,,,,3,38,68,3,38,68,50,95,1
1858-06-06,1,1,11,1,15,25,2,16,36,43,82,1
1858-06-07,1,3,13,1,19,29,2,22,42,41,78,1
1858-06-08,1,2,12,2,15,35,3,17,47,34,65,1
1858-06-09,1,1,11,1,8,18,2,9,29,32,61,1
1858-06-12,,,,1,1,11,1,1,11,14,27,1
1858-06-13,,,,1,1,11,1,1,11,14,27,1
1858-06-14,2,6,26,1,1,11,3,7,37,38,72,1
1858-06-15,1,6,16,2,3,23,3,9,39,28,53,1
1858-06-16,1,7,17,2,2,22,3,9,39,28,53,1
1858-06-19,2,6,26,1,1,11,3,7,37,38,72,1
1858-06-21,2,10,30,4,5,45,6,15,75,76,144,1
1858-06-22,2,6,26,4,6,46,6,12,72,57,108,1
1858-06-23,1,12,22,2,3,23,3,15,45,46,87,1
1858-06-25,1,5,15,3,10,40,4,15,55,39,74,1
1858-06-26,,,,4,13,53,4,13,53,62,118,1
1858-06-27,,,,4,23,63,4,23,63,51,97,1
1858-06-29,1,1,11,5,33,83,6,34,94,68,129,1
1858-06-30,,,,5,32,82,5,32,82,99,188,1
1858-07-01,,,,5,36,86,5,36,86,82,156,1
1858-07-02,,,,5,47,97,5,47,97,79,150,1
1858-07-04,,,,6,61,121,6,61,121,90,171,1
1858-07-06,,,,4,41,81,4,41,81,69,131,1
1858-07-08,,,,4,48,88,4,48,88,87,165,1
1858-07-11,,,,4,62,102,4,62,102,74,141,1
1858-07-12,1,1,11,3,58,88,4,59,99,65,124,1
1858-07-14,,,,3,40,70,3,40,70,37,70,1
1858-07-15,1,12,22,3,29,59,4,41,81,51,97,1
1858-07-17,1,14,24,2,13,33,3,27,57,49,93,1
1858-07-20,1,23,33,2,4,24,3,27,57,41,78,1
1858-07-25,1,13,23,3,5,35,4,18,58,74,141,1
1858-08-01,,,,2,8,28,2,8,28,31,59,1
1858-08-04,,,,2,9,29,2,9,29,11,21,1
1858-08-07,1,6,16,2,28,48,3,34,64,32,61,1
1858-08-08,1,12,22,1,17,27,2,29,49,62,118,1
1858-08-15,1,34,44,1,3,13,2,37,57,50,95,1
1858-08-19,3,25,55,3,19,49,6,44,104,77,146,1
1858-08-22,1,22,32,2,26,46,3,48,78,46,87,1
1858-08-23,2,19,39,2,20,40,4,39,79,44,84,1
1858-08-26,2,3,23,3,34,64,5,37,87,48,91,1
1858-09-05,2,10,30,3,31,61,5,41,91,81,154,1
1858-09-08,,,,6,28,88,6,28,88,101,192,1
1858-09-12,1,9,19,5,22,72,6,31,91,85,162,1
1858-09-15,2,12,32,4,8,48,6,20,80,96,182,1
1858-09-24,,,,3,34,64,3,34,64,41,78,1
1858-09-26,,,,3,8,38,3,8,38,40,76,1
1858-10-01,1,3,13,4,57,97,5,60,110,84,160,1
1858-10-03,1,1,11,4,64,104,5,65,115,111,211,1
1858-10-10,2,19,39,2,53,73,4,72,112,81,154,1
1858-10-17,1,9,19,3,27,57,4,36,76,66,125,1
1858-10-21,2,9,29,3,30,60,5,39,89,89,169,1
1858-10-29,2,9,29,3,17,47,5,26,76,86,163,1
1858-10-31,2,23,43,2,16,36,4,39,79,69,131,1
1858-11-07,3,7,37,1,29,39,4,36,76,69,131,1
1858-11-11,2,2,22,3,35,65,5,37,87,85,162,1
1858-11-12,1,1,11,3,29,59,4,30,70,67,127,1
1858-11-21,1,1,11,3,7,37,4,8,48,50,95,1
1858-11-28,1,14,24,4,29,69,5,43,93,64,122,1
1858-12-05,1,4,14,4,58,98,5,62,112,89,169,1
1858-12-19,2,7,27,2,17,37,4,24,64,62,118,1
1858-12-22,1,11,21,3,23,53,4,34,74,61,116,2
1858-12-26,1,4,14,2,26,46,3,30,60,39,74,2
1858-12-27,2,10,30,3,30,60,5,40,90,80,152,2
1859-01-02,2,63,83,4,41,81,6,104,164,88,167,2
1859-01-09,2,19,39,3,50,80,5,69,119,89,169,1
1859-01-14,2,22,42,3,49,79,5,71,121,80,152,1
1859-01-16,3,23,53,4,33,73,7,56,126,77,146,1
1859-01-20,2,3,23,4,26,66,6,29,89,71,135,1
1859-02-03,4,16,56,3,6,36,7,22,92,55,104,1
1859-02-24,1,3,13,5,25,75,6,28,88,85,162,1
1859-03-03,2,15,35,2,2,22,4,17,57,75,142,1
1859-03-06,5,14,64,,,,5,14,64,60,114,1
1859-03-08,4,11,51,,,,4,11,51,37,70,1
1859-03-09,4,17,57,2,5,25,6,22,82,76,144,1
1859-03-10,3,15,45,3,13,43,6,28,88,83,158,1
1859-03-11,2,11,31,3,5,35,5,16,66,67,127,1
1859-03-18,2,14,34,4,37,77,6,51,111,149,283,1
1859-03-19,2,26,46,4,32,72,6,58,118,92,175,1
1859-03-20,3,23,53,4,46,86,7,69,139,92,175,1
1859-03-22,2,15,35,3,20,50,5,35,85,102,194,1
1859-03-31,3,14,44,3,26,56,6,40,100,99,188,1
1859-04-01,3,5,35,4,23,63,7,28,98,73,139,1
1859-04-03,2,2,22,2,14,34,4,16,56,45,85,1
1859-04-07,1,2,12,2,11,31,3,13,43,76,144,1
1859-04-21,2,7,27,2,19,39,4,26,66,74,141,1
1859-05-05,1,15,25,5,20,70,6,35,95,105,199,1
1859-05-08,2,10,30,6,24,84,8,34,114,124,236,1
1859-05-12,3,41,71,4,22,62,7,63,133,114,217,1
1859-05-22,2,4,24,1,12,22,3,16,46,46,87,1
1859-05-26,3,24,54,3,5,35,6,29,89,91,173,1
1859-06-05,4,13,53,3,13,43,7,26,96,87,165,1
1859-06-09,5,16,66,2,2,22,7,18,88,76,144,1
1859-06-12,5,6,56,4,13,53,9,19,109,81,154,1
1859-06-16,4,5,45,2,10,30,6,15,75,67,127,1
1859-06-20,3,5,35,4,6,46,7,11,81,80,152,1
1859-06-23,3,4,34,4,6,46,7,10,80,121,230,1
1859-06-26,1,1,11,5,15,65,6,16,76,91,173,1
1859-07-03,4,10,50,2,2,22,6,12,72,62,118,1
1859-07-07,3,20,50,1,4,14,4,24,64,74,141,1
1859-07-08,3,24,54,2,8,28,5,32,82,77,146,1
1859-07-10,4,15,55,3,16,46,7,31,101,80,152,1
1859-07-17,5,23,73,4,18,58,9,41,131,92,175,1
1859-07-21,4,13,53,2,20,40,6,33,93,69,131,1
1859-07-24,4,31,71,3,20,50,7,51,121,126,239,2
1859-07-28,2,41,61,5,21,71,7,62,132,65,124,2
1859-07-31,3,40,70,3,18,48,6,58,118,99,188,2
1859-08-04,3,34,64,3,8,38,6,42,102,66,125,1
1859-08-11,3,14,44,1,6,16,4,20,60,49,93,1
1859-08-14,4,10,50,3,3,33,7,13,83,84,160,1
1859-08-18,4,28,68,3,16,46,7,44,114,101,192,1
1859-08-21,5,26,76,5,29,79,10,55,155,112,213,1
1859-08-25,4,13,53,4,14,54,8,27,107,145,276,1
1859-08-28,3,20,50,2,5,25,5,25,75,108,205,1
1859-09-01,3,41,71,3,18,48,6,59,119,147,279,1
1859-09-11,5,23,73,3,26,56,8,49,129,107,203,1
1859-09-15,5,29,79,1,7,17,6,36,96,64,122,1
1859-09-18,5,25,75,3,3,33,8,28,108,75,142,1
1859-09-29,2,7,27,6,24,84,8,31,111,134,255,1
1859-10-06,3,18,48,6,46,106,9,64,154,127,241,1
1859-10-09,5,18,68,4,26,66,9,44,134,131,249,1
1859-10-20,4,24,64,4,12,52,8,36,116,121,230,1
1859-11-03,2,2,22,6,43,103,8,45,125,112,213,1
1859-11-10,2,2,22,6,31,91,8,33,113,119,226,1
1859-11-13,2,7,27,7,26,96,9,33,123,117,222,1
1859-11-17,2,8,28,5,11,61,7,19,89,67,127,1
1859-11-20,4,13,53,5,26,76,9,39,129,110,209,1
1859-11-24,3,11,41,5,43,93,8,54,134,116,220,1
1859-11-27,3,8,38,2,4,24,5,12,62,52,99,1
1859-12-11,2,16,36,4,21,61,6,37,97,91,173,2
1859-12-15,3,35,65,4,8,48,7,43,113,100,190,2
1859-12-18,4,15,55,3,4,34,7,19,89,77,146,2
1859-12-22,1,1,11,4,36,76,5,37,87,61,116,2
1859-12-27,2,5,25,3,32,62,5,37,87,70,133,2
1860-01-02,2,12,32,6,41,101,8,53,133,101,192,2
1860-01-07,3,16,46,3,11,41,6,27,87,55,104,1
1860-01-11,1,9,19,4,15,55,5,24,74,74,141,1
1860-01-16,2,2,22,3,17,47,5,19,69,71,135,1
1860-01-17,3,16,46,3,8,38,6,24,84,84,160,1
1860-01-19,2,34,54,4,12,52,6,46,106,85,162,1
1860-01-22,3,18,48,2,4,24,5,22,72,81,154,1
1860-01-23,4,21,61,4,22,62,8,43,123,108,205,1
1860-01-24,3,15,45,4,35,75,7,50,120,100,190,1
1860-01-28,3,20,50,3,19,49,6,39,99,60,114,1
1860-01-30,5,42,92,2,16,36,7,58,128,97,184,1
1860-02-01,4,48,88,3,27,57,7,75,145,109,207,1
1860-02-02,5,49,99,3,24,54,8,73,153,110,209,1
1860-02-06,5,43,93,3,45,75,8,88,168,165,314,1
1860-02-09,2,23,43,4,48,88,6,71,131,52,99,1
1860-02-12,3,38,68,1,31,41,4,69,109,103,196,1
1860-02-13,3,54,84,2,32,52,5,86,136,85,162,1
1860-02-15,4,21,61,2,8,28,6,29,89,67,127,1
1860-02-17,3,42,72,1,3,13,4,45,85,83,158,1
1860-02-20,2,25,45,3,5,35,5,30,80,61,116,1
1860-02-22,1,11,21,3,4,34,4,15,55,56,106,1
1860-02-23,1,20,30,2,6,26,3,26,56,49,93,1
1860-02-24,1,15,25,3,11,41,4,26,66,49,93,1
1860-02-27,2,33,53,4,17,57,6,50,110,109,207,2
1860-02-29,1,29,39,4,21,61,5,50,100,59,112,2
1860-03-01,2,24,44,5,15,65,7,39,109,115,218,2
1860-03-02,2,34,54,4,23,63,6,57,117,111,211,2
1860-03-05,3,29,59,4,9,49,7,38,108,93,177,2
1860-03-06,4,25,65,4,12,52,8,37,117,107,203,2
1860-03-08,5,33,83,6,17,77,11,50,160,109,207,2
1860-03-10,4,28,68,4,31,71,8,59,139,131,249,1
1860-03-13,4,25,65,3,13,43,7,38,108,110,209,1
1860-03-15,5,15,65,2,8,28,7,23,93,92,175,1
1860-03-18,2,5,25,4,8,48,6,13,73,85,162,1
1860-03-22,3,5,35,2,4,24,5,9,59,54,103,1
1860-03-24,4,20,60,3,4,34,7,24,94,60,114,1
1860-03-25,5,17,67,4,13,53,9,30,120,111,211,1
1860-03-26,5,20,70,4,14,54,9,34,124,154,293,1
1860-03-29,4,22,62,3,11,41,7,33,103,102,194,1
1860-04-01,2,12,32,4,21,61,6,33,93,103,196,1
1860-04-03,1,4,14,4,17,57,5,21,71,76,144,1
1860-04-04,2,2,22,5,15,65,7,17,87,50,95,1
1860-04-06,1,1,11,3,7,37,4,8,48,71,135,1
1860-04-07,3,10,40,2,4,24,5,14,64,83,158,1
1860-04-09,5,24,74,1,8,18,6,32,92,94,179,2
1860-04-10,5,24,74,1,5,15,6,29,89,64,122,2
1860-04-15,4,15,55,2,8,28,6,23,83,94,179,1
1860-04-16,4,9,49,3,13,43,7,22,92,104,198,2
1860-04-17,3,11,41,2,14,34,5,25,75,85,162,2
1860-04-18,3,14,44,3,17,47,6,31,91,97,184,2
1860-04-21,1,6,16,5,16,66,6,22,82,45,85,1
1860-04-22,2,5,25,1,2,12,3,7,37,60,114,1
1860-04-25,3,8,38,2,24,44,5,32,82,76,144,2
1860-04-28,1,7,17,1,27,37,2,34,54,52,99,2
1860-04-29,3,8,38,1,22,32,4,30,70,73,139,2
1860-04-30,3,9,39,1,23,33,4,32,72,69,131,2
1860-05-01,4,12,52,2,21,41,6,33,93,37,70,2
1860-05-02,3,33,63,3,31,61,6,64,124,94,179,2
1860-05-03,4,29,69,3,23,53,7,52,122,162,308,2
1860-05-04,4,36,76,2,23,43,6,59,119,147,279,2
1860-05-05,7,50,120,2,9,29,9,59,149,131,249,2
1860-05-06,7,39,109,1,5,15,8,44,124,152,289,1
1860-05-07,7,40,110,1,12,22,8,52,132,135,256,1
1860-05-09,5,38,88,3,13,43,8,51,131,97,184,1
1860-05-13,3,10,40,5,20,70,8,30,110,99,188,1
1860-05-15,3,11,41,4,15,55,7,26,96,96,182,1
1860-05-20,2,3,23,4,22,62,6,25,85,84,160,1
1860-05-21,3,4,34,5,19,69,8,23,103,74,141,1
1860-05-22,4,9,49,5,23,73,9,32,122,109,207,1
1860-05-23,4,9,49,6,43,103,10,52,152,128,243,1
1860-05-24,4,4,44,5,42,92,9,46,136,129,245,1
1860-05-27,3,13,43,4,35,75,7,48,118,114,217,1
1860-05-30,2,4,24,4,20,60,6,24,84,84,160,1
1860-06-05,3,30,60,3,34,64,6,64,124,109,207,2
1860-06-06,3,27,57,3,16,46,6,43,103,111,211,2
1860-06-08,3,23,53,2,12,32,5,35,85,104,198,2
1860-06-10,3,10,40,2,6,26,5,16,66,33,63,2
1860-06-11,4,10,50,2,6,26,6,16,76,33,63,2
1860-06-14,3,9,39,5,16,66,8,25,105,86,163,1
1860-06-18,2,10,30,4,14,54,6,24,84,58,110,1
1860-06-22,3,11,41,5,28,78,8,39,119,133,253,1
1860-06-25,5,33,83,4,34,74,9,67,157,171,325,1
1860-06-26,5,31,81,4,34,74,9,65,155,164,312,1
1860-07-01,7,51,111,4,31,71,11,82,192,184,350,2
1860-07-03,5,59,109,3,11,41,8,70,150,165,314,1
1860-07-04,5,59,109,4,12,52,9,71,161,147,279,1
1860-07-06,5,43,93,4,21,61,9,64,154,114,217,1
1860-07-08,4,27,67,2,8,28,6,35,95,92,175,1
1860-07-09,5,30,80,2,7,27,7,37,107,99,188,1
1860-07-11,4,12,52,3,5,35,7,17,87,52,99,1
1860-07-12,2,11,31,1,3,13,3,14,44,55,104,1
1860-07-13,2,6,26,2,6,26,4,12,52,53,101,1
1860-07-17,2,11,31,3,9,39,5,20,70,68,129,1
1860-07-18,3,14,44,4,16,56,7,30,100,62,118,1
1860-07-19,2,7,27,5,29,79,7,36,106,104,198,1
1860-07-20,4,7,47,3,20,50,7,27,97,103,196,1
1860-07-22,5,11,61,7,25,95,12,36,156,144,274,1
1860-07-24,6,10,70,6,23,83,12,33,153,160,304,1
1860-07-25,6,19,79,5,20,70,11,39,149,144,274,1
1860-07-30,6,71,131,4,11,51,10,82,182,82,156,1
1860-08-01,5,49,99,2,3,23,7,52,122,132,251,1
1860-08-04,2,20,40,3,46,76,5,66,116,88,167,2
1860-08-05,2,19,39,2,38,58,4,57,97,109,207,2
1860-08-07,4,10,50,4,45,85,8,55,135,121,230,2
1860-08-09,4,14,54,4,46,86,8,60,140,148,281,2
1860-08-10,4,22,62,3,50,80,7,72,142,121,230,2
1860-08-11,4,27,67,4,47,87,8,74,154,154,293,2
1860-08-14,4,17,57,3,19,49,7,36,106,127,241,2
1860-08-17,5,15,65,3,4,34,8,19,99,116,220,1
1860-08-20,3,6,36,2,8,28,5,14,64,88,167,1
1860-08-21,3,10,40,2,7,27,5,17,67,58,110,1
1860-08-26,5,28,78,3,11,41,8,39,119,85,162,1
1860-08-27,4,15,55,3,9,39,7,24,94,78,148,1
1860-08-28,4,18,58,2,4,24,6,22,82,88,167,1
1860-08-29,3,16,46,3,6,36,6,22,82,70,133,1
1860-08-30,4,14,54,2,8,28,6,22,82,69,131,1
1860-08-31,3,10,40,4,14,54,7,24,94,94,179,1
1860-09-01,3,15,45,4,8,48,7,23,93,97,184,1
1860-09-02,3,10,40,5,19,69,8,29,109,91,173,1
1860-09-03,4,20,60,4,22,62,8,42,122,97,184,1
1860-09-04,2,10,30,4,18,58,6,28,88,105,199,1
1860-09-05,4,11,51,5,15,65,9,26,116,100,190,1
1860-09-07,4,7,47,5,24,74,9,31,121,102,194,1
1860-09-11,4,9,49,1,5,15,5,14,64,61,116,1
1860-09-12,5,13,63,,,,5,13,63,51,97,1
1860-09-13,5,14,64,,,,5,14,64,64,122,1
1860-09-14,6,23,83,1,1,11,7,24,94,73,139,1
1860-09-15,6,25,85,2,9,29,8,34,114,55,104,1
1860-09-21,4,9,49,5,11,61,9,20,110,136,258,1
1860-09-24,3,11,41,3,4,34,6,15,75,91,173,1
1860-09-30,2,5,25,6,16,76,8,21,101,72,137,1
1860-10-02,1,1,11,6,25,85,7,26,96,66,125,1
1860-10-03,2,2,22,5,23,73,7,25,95,106,201,1
1860-10-04,3,21,51,5,16,66,8,37,117,135,256,2
1860-10-06,4,41,81,4,7,47,8,48,128,142,270,1
1860-10-08,4,37,77,2,3,23,6,40,100,90,171,1
1860-10-09,4,35,75,1,2,12,5,37,87,70,133,1
1860-10-12,4,17,57,2,23,43,6,40,100,85,162,2
1860-10-14,4,18,58,2,57,77,6,75,135,114,217,2
1860-10-16,3,6,36,3,46,76,6,52,112,91,173,1
1860-10-17,2,2,22,2,49,69,4,51,91,94,179,1
1860-10-19,2,2,22,4,58,98,6,60,120,93,177,1
1860-10-20,,,,4,51,91,4,51,91,101,192,1
1860-10-22,,,,4,38,78,4,38,78,73,139,1
1860-10-24,,,,7,17,87,7,17,87,75,142,1
1860-10-28,1,11,21,4,22,62,5,33,83,72,137,1
1860-10-29,1,15,25,4,25,65,5,40,90,84,160,1
1860-10-30,2,15,35,4,23,63,6,38,98,76,144,1
1860-11-01,3,15,45,4,27,67,7,42,112,97,184,1
1860-11-02,2,20,40,3,25,55,5,45,95,97,184,1
1860-11-03,3,16,46,3,38,68,6,54,114,121,230,1
1860-11-04,2,11,31,4,23,63,6,34,94,76,144,1
1860-11-05,4,32,72,5,21,71,9,53,143,157,298,1
1860-11-09,3,27,57,5,39,89,8,66,146,107,203,1
1860-11-11,2,7,27,5,37,87,7,44,114,119,226,1
1860-11-15,3,17,47,3,22,52,6,39,99,97,184,1
1860-11-16,3,15,45,3,25,55,6,40,100,96,182,1
1860-11-18,2,19,39,4,23,63,6,42,102,58,110,1
1860-11-19,2,23,43,3,20,50,5,43,93,93,177,1
1860-11-22,2,15,35,4,24,64,6,39,99,85,162,1
1860-11-27,5,16,66,5,46,96,10,62,162,144,274,1
1860-11-28,3,25,55,5,25,75,8,50,130,114,217,1
1860-12-01,5,30,80,4,36,76,9,66,156,111,211,1
1860-12-02,8,51,131,4,21,61,12,72,192,149,283,1
1860-12-09,7,36,106,2,55,75,9,91,181,130,247,1
1860-12-10,8,21,101,1,26,36,9,47,137,117,222,1
1860-12-15,4,8,48,2,37,57,6,45,105,91,173,1
1860-12-17,4,7,47,2,15,35,6,22,82,46,87,1
1860-12-18,4,9,49,2,5,25,6,14,74,33,63,1
1860-12-19,6,15,75,3,16,46,9,31,121,36,68,1
1860-12-20,4,20,60,3,26,56,7,46,116,91,173,1
1860-12-24,4,28,68,4,16,56,8,44,124,121,230,1
1860-12-26,3,25,55,5,12,62,8,37,117,73,139,1
1861-01-02,3,33,63,4,12,52,7,45,115,60,114,1
1861-01-03,4,8,48,3,7,37,7,15,85,73,139,1
1861-01-04,4,16,56,4,18,58,8,34,114,55,104,1
1861-01-06,3,16,46,2,23,43,5,39,89,67,127,1
1861-01-07,4,12,52,2,25,45,6,37,97,51,97,1
1861-01-08,2,9,29,2,27,47,4,36,76,59,112,1
1861-01-09,2,7,27,3,44,74,5,51,101,85,162,1
1861-01-16,2,16,36,2,14,34,4,30,70,64,122,1
1861-01-26,2,26,46,3,29,59,5,55,105,79,150,1
1861-01-27,2,23,43,3,31,61,5,54,104,79,150,1
1861-01-28,2,23,43,3,22,52,5,45,95,99,188,1
1861-01-29,2,18,38,3,24,54,5,42,92,40,76,1
1861-01-31,3,7,37,2,7,27,5,14,64,60,114,1
1861-02-02,2,3,23,,,,2,3,23,29,55,1
1861-02-04,,,,1,4,14,1,4,14,30,57,1
1861-02-07,1,9,19,3,18,48,4,27,67,16,30,1
1861-02-10,2,26,46,3,15,45,5,41,91,66,125,1
1861-02-12,3,22,52,3,28,58,6,50,110,76,144,1
1861-02-17,4,31,71,4,39,79,8,70,150,115,218,1
1861-02-26,3,41,71,1,7,17,4,48,88,79,150,1
1861-02-27,3,50,80,1,2,12,4,52,92,80,152,1
1861-02-28,5,51,101,3,7,37,8,58,138,105,199,1
1861-03-03,3,72,102,3,20,50,6,92,152,82,156,1
1861-03-04,2,60,80,3,15,45,5,75,125,139,264,1
1861-03-07,1,49,59,3,19,49,4,68,108,121,230,1
1861-03-09,1,19,29,4,13,53,5,32,82,91,173,1
1861-03-10,2,10,30,5,42,92,7,52,122,88,167,1
1861-03-11,1,24,34,6,24,84,7,48,118,101,192,1
1861-03-12,1,14,24,5,15,65,6,29,89,73,139,1
1861-03-13,1,17,27,5,22,72,6,39,99,82,156,1
1861-03-14,2,17,37,5,33,83,7,50,120,65,124,1
1861-03-15,2,24,44,5,22,72,7,46,116,73,139,1
1861-03-18,3,3,33,3,24,54,6,27,87,55,104,1
1861-03-21,3,37,67,4,9,49,7,46,116,94,179,1
1861-03-22,4,37,77,4,4,44,8,41,121,85,162,1
1861-03-23,2,32,52,3,5,35,5,37,87,86,163,1
1861-03-24,3,31,61,2,2,22,5,33,83,105,199,1
