,Date,Group,Spot,SN
212,1826-12-13,2,7,27
213,1826-12-14,4,11,51
214,1826-12-22,2,4,24
215,1826-12-23,3,5,35
216,1826-12-24,5,9,59
217,1826-12-27,4,13,53
218,1827-01-03,3,3,33
219,1827-01-06,2,7,27
220,1827-01-07,3,11,41
221,1827-01-09,3,17,47
222,1827-01-10,3,4,34
223,1827-01-11,2,4,24
224,1827-01-12,2,4,24
225,1827-01-15,2,5,25
226,1827-01-17,2,6,26
227,1827-01-18,2,4,24
228,1827-01-21,0,0,0
229,1827-01-22,0,0,0
230,1827-01-23,1,1,11
231,1827-01-26,1,6,16
232,1827-01-28,2,6,26
233,1827-01-29,2,8,28
234,1827-01-30,3,11,41
235,1827-01-31,3,8,38
236,1827-02-03,3,7,37
237,1827-02-04,4,8,48
238,1827-02-05,4,6,46
239,1827-02-07,4,6,46
240,1827-02-08,2,4,24
241,1827-02-09,2,4,24
242,1827-02-10,1,2,12
243,1827-02-11,1,1,11
244,1827-02-12,2,5,25
245,1827-02-13,1,2,12
246,1827-02-14,2,8,28
247,1827-02-15,2,8,28
248,1827-02-16,2,7,27
249,1827-02-17,1,1,11
250,1827-02-18,2,8,28
251,1827-02-19,3,8,38
252,1827-02-20,4,9,49
253,1827-02-22,5,7,57
254,1827-02-23,5,13,63
255,1827-02-24,4,5,45
256,1827-02-25,4,7,47
257,1827-02-26,4,5,45
258,1827-02-28,5,8,58
259,1827-03-01,6,8,68
260,1827-03-02,6,8,68
261,1827-03-03,6,8,68
262,1827-03-04,5,8,58
263,1827-03-05,6,13,73
264,1827-03-07,6,13,73
265,1827-03-09,5,13,63
266,1827-03-10,3,7,37
267,1827-03-11,2,4,24
268,1827-03-12,2,9,29
269,1827-03-13,2,5,25
270,1827-03-14,4,7,47
271,1827-03-15,4,6,46
272,1827-03-16,3,5,35
273,1827-03-20,4,13,53
274,1827-03-21,4,9,49
275,1827-03-24,3,5,35
276,1827-03-26,4,7,47
277,1827-03-27,2,6,26
278,1827-03-28,2,6,26
279,1827-03-30,1,6,16
280,1827-03-31,4,7,47
281,1827-04-01,3,10,40
282,1827-04-02,3,6,36
283,1827-04-05,3,6,36
284,1827-04-06,2,6,26
285,1827-04-07,2,6,26
286,1827-04-08,3,10,40
287,1827-04-09,3,6,36
288,1827-04-10,3,8,38
289,1827-04-11,2,6,26
290,1827-04-12,3,8,38
291,1827-04-14,1,3,13
292,1827-04-15,2,7,27
293,1827-04-16,2,7,27
294,1827-04-19,3,8,38
295,1827-04-20,4,10,50
296,1827-04-21,3,11,41
297,1827-04-22,3,8,38
298,1827-04-24,2,8,28
299,1827-04-25,1,7,17
300,1827-04-26,2,4,24
301,1827-04-27,4,8,48
302,1827-04-28,4,10,50
303,1827-04-29,4,8,48
304,1827-04-30,2,6,26
305,1827-05-01,3,8,38
306,1827-05-02,3,10,40
307,1827-05-03,3,12,42
308,1827-05-04,3,14,44
309,1827-05-05,4,11,51
310,1827-05-06,6,15,75
311,1827-05-07,5,11,61
312,1827-05-09,4,8,48
313,1827-05-10,5,10,60
314,1827-05-11,6,8,68
315,1827-05-14,4,8,48
316,1827-05-17,3,4,34
317,1827-05-18,3,8,38
318,1827-05-19,3,8,38
319,1827-05-20,4,10,50
320,1827-05-21,3,9,39
321,1827-05-22,4,11,51
322,1827-05-23,4,5,45
323,1827-05-24,1,5,15
324,1827-05-26,2,2,22
325,1827-05-28,1,1,11
326,1827-05-29,2,4,24
327,1827-05-30,5,11,61
328,1827-05-31,5,13,63
329,1827-06-05,1,5,15
330,1827-06-07,1,4,14
331,1827-06-09,2,4,24
332,1827-06-10,2,5,25
333,1827-06-11,3,10,40
334,1827-06-13,4,19,59
335,1827-06-14,4,14,54
336,1827-06-15,5,16,66
337,1827-06-16,3,4,34
338,1827-06-18,4,8,48
339,1827-06-20,4,8,48
340,1827-06-21,6,16,76
341,1827-06-23,7,14,84
342,1827-06-24,7,18,88
343,1827-06-26,4,7,47
344,1827-06-27,4,8,48
345,1827-06-28,4,10,50
346,1827-06-29,5,9,59
347,1827-06-30,3,7,37
348,1827-07-01,3,3,33
349,1827-07-02,4,6,46
350,1827-07-03,5,7,57
351,1827-07-04,4,12,52
352,1827-07-06,3,7,37
353,1827-07-07,3,15,45
354,1827-07-08,3,10,40
355,1827-07-09,3,6,36
356,1827-07-10,4,12,52
357,1827-07-11,3,6,36
358,1827-07-12,3,4,34
359,1827-07-14,1,1,11
360,1827-07-15,1,1,11
361,1827-07-16,1,1,11
362,1827-07-17,1,1,11
363,1827-07-18,1,1,11
364,1827-07-19,1,1,11
365,1827-07-21,2,3,23
366,1827-07-22,2,3,23
367,1827-07-23,3,4,34
368,1827-07-24,2,5,25
369,1827-07-25,3,7,37
370,1827-07-26,3,3,33
371,1827-07-27,3,4,34
372,1827-07-28,3,6,36
373,1827-07-29,3,7,37
374,1827-07-30,5,9,59
375,1827-07-31,5,10,60
376,1827-08-01,4,9,49
