,Date,Group,Spot,SN
2485,1837-09-28,5,21,71
2486,1837-10-01,5,44,94
2487,1837-10-04,4,45,85
2488,1837-10-05,3,28,58
2489,1837-10-06,5,25,75
2490,1837-10-08,5,22,72
2491,1837-10-10,5,23,73
2492,1837-10-11,4,22,62
2493,1837-10-12,3,30,60
2494,1837-10-13,5,23,73
2495,1837-10-14,4,17,57
2496,1837-10-19,10,53,153
2497,1837-10-20,8,34,114
2498,1837-10-21,8,44,124
2499,1837-10-26,7,44,114
2500,1837-10-27,7,37,107
2501,1837-10-28,8,41,121
2502,1837-10-29,6,15,75
2503,1837-10-30,8,40,120
2504,1837-10-31,9,52,142
2505,1837-11-01,7,30,100
2506,1837-11-05,8,31,111
2507,1837-11-06,7,21,91
2508,1837-11-14,7,43,113
2509,1837-11-22,5,11,61
2510,1837-11-23,3,4,34
2511,1837-11-25,3,9,39
2512,1837-11-30,5,28,78
2513,1837-12-01,7,36,106
2514,1837-12-08,9,52,142
2515,1837-12-15,5,35,85
2516,1837-12-16,6,26,86
2517,1837-12-17,4,15,55
2518,1837-12-18,4,8,48
2519,1837-12-29,9,47,137
2520,1837-12-30,4,31,71
2521,1837-12-31,8,70,150
2522,1838-01-01,9,104,194
2523,1838-01-02,10,85,185
2524,1838-01-03,10,78,178
2525,1838-01-04,11,70,180
2526,1838-01-08,9,49,139
2527,1838-01-18,5,42,92
2528,1838-01-21,4,34,74
2529,1838-01-22,2,19,39
2530,1838-01-23,2,25,45
2531,1838-01-28,4,27,67
2532,1838-01-30,7,27,97
2533,1838-02-04,4,12,52
2534,1838-02-05,5,21,71
2535,1838-02-06,4,20,60
2536,1838-02-07,3,24,54
2537,1838-02-09,4,18,58
2538,1838-02-10,4,24,64
2539,1838-02-12,4,21,61
2540,1838-02-13,4,22,62
2541,1838-02-14,4,10,50
2542,1838-02-17,2,7,27
2543,1838-02-18,2,7,27
2544,1838-02-19,2,7,27
2545,1838-02-20,4,13,53
2546,1838-02-22,3,37,67
2547,1838-02-23,5,50,100
2548,1838-02-24,4,36,76
2549,1838-02-25,9,39,129
2550,1838-02-28,9,80,170
2551,1838-03-01,11,69,179
2552,1838-03-03,8,28,108
2553,1838-03-04,10,66,166
2554,1838-03-05,10,38,138
2555,1838-03-08,7,68,138
2556,1838-03-10,5,44,94
2557,1838-03-11,5,45,95
2558,1838-03-12,8,31,111
2559,1838-03-16,6,20,80
2560,1838-03-18,5,12,62
2561,1838-03-19,5,33,83
2562,1838-03-24,5,40,90
2563,1838-04-01,12,70,190
2564,1838-04-08,5,31,81
2565,1838-04-10,5,12,62
2566,1838-04-11,5,29,79
2567,1838-04-12,8,59,139
2568,1838-04-15,8,21,101
2569,1838-04-16,10,27,127
2570,1838-04-17,10,42,142
2571,1838-04-18,8,25,105
2572,1838-04-19,2,14,34
2573,1838-04-20,6,27,87
2574,1838-04-21,5,11,61
2575,1838-04-22,6,27,87
2576,1838-04-23,5,19,69
2577,1838-04-24,4,18,58
2578,1838-04-26,6,23,83
2579,1838-04-30,8,21,101
2580,1838-05-01,9,24,114
2581,1838-05-02,9,34,124
2582,1838-05-03,9,31,121
2583,1838-05-04,10,28,128
2584,1838-05-05,7,17,87
2585,1838-05-06,6,17,77
2586,1838-05-07,7,30,100
2587,1838-05-08,8,33,113
2588,1838-05-09,6,52,112
2589,1838-05-10,7,32,102
2590,1838-05-11,8,46,126
2591,1838-05-13,9,45,135
2592,1838-05-18,6,18,78
2593,1838-05-22,7,25,95
2594,1838-05-23,8,33,113
2595,1838-05-25,5,20,70
2596,1838-05-26,8,31,111
2597,1838-05-27,9,28,118
2598,1838-05-28,8,29,109
2599,1838-05-29,10,27,127
2600,1838-06-01,6,20,80
2601,1838-06-05,6,36,96
2602,1838-06-09,7,20,90
2603,1838-06-11,9,15,105
2604,1838-06-12,6,10,70
2605,1838-06-15,6,12,72
2606,1838-06-16,7,17,87
2607,1838-06-17,7,46,116
2608,1838-06-18,7,33,103
2609,1838-06-19,7,22,92
2610,1838-06-20,6,22,82
2611,1838-06-22,4,20,60
2612,1838-06-23,4,19,59
2613,1838-06-24,3,14,44
2614,1838-06-25,2,5,25
2615,1838-06-27,2,7,27
2616,1838-06-28,3,12,42
2617,1838-06-29,5,16,66
2618,1838-06-30,5,24,74
2619,1838-07-02,9,16,106
2620,1838-07-03,6,14,74
2621,1838-07-04,3,7,37
2622,1838-07-05,4,8,48
2623,1838-07-06,7,19,89
2624,1838-07-07,6,20,80
2625,1838-07-08,5,22,72
2626,1838-07-09,7,39,109
2627,1838-07-10,6,37,97
2628,1838-07-12,4,11,51
2629,1838-07-13,4,44,84
2630,1838-07-14,5,31,81
2631,1838-07-15,5,44,94
2632,1838-07-16,6,22,82
2633,1838-07-17,8,26,106
2634,1838-07-18,6,30,90
2635,1838-07-21,5,26,76
2636,1838-07-24,8,31,111
2637,1838-07-28,9,34,124
2638,1838-07-29,8,29,109
2639,1838-07-31,8,23,103
2640,1838-08-02,5,10,60
2641,1838-08-05,4,10,50
2642,1838-08-06,4,8,48
2643,1838-08-07,5,20,70
2644,1838-08-08,4,9,49
2645,1838-08-12,3,12,42
2646,1838-08-14,5,11,61
2647,1838-08-15,4,6,46
2648,1838-08-17,6,14,74
2649,1838-08-19,5,27,77
2650,1838-08-21,6,60,120
2651,1838-08-23,4,31,71
2652,1838-08-24,5,20,70
2653,1838-08-26,4,13,53
2654,1838-08-28,3,11,41
2655,1838-09-01,3,13,43
2656,1838-09-02,3,40,70
2657,1838-09-03,4,36,76
2658,1838-09-04,4,45,85
2659,1838-09-05,5,34,84
2660,1838-09-06,3,15,45
2661,1838-09-07,6,34,94
2662,1838-09-08,6,19,79
2663,1838-09-09,6,13,73
2664,1838-09-12,4,18,58
2665,1838-09-14,4,28,68
2666,1838-09-15,5,50,100
2667,1838-09-16,4,32,72
2668,1838-09-17,5,44,94
2669,1838-09-18,7,34,104
2670,1838-09-21,3,13,43
2671,1838-09-22,2,8,28
2672,1838-09-23,2,3,23
2673,1838-09-24,3,7,37
2674,1838-09-25,2,3,23
2675,1838-09-26,2,4,24
2676,1838-09-27,2,9,29
2677,1838-09-29,2,7,27
2678,1838-09-30,2,8,28
2679,1838-10-01,3,10,40
2680,1838-10-02,4,15,55
2681,1838-10-03,3,18,48
2682,1838-10-07,4,13,53
2683,1838-10-08,3,13,43
2684,1838-10-11,4,25,65
2685,1838-10-12,6,28,88
2686,1838-10-13,7,59,129
2687,1838-10-14,7,38,108
2688,1838-10-17,4,17,57
2689,1838-10-21,4,20,60
2690,1838-10-22,1,9,19
2691,1838-10-23,3,26,56
2692,1838-10-24,5,34,84
2693,1838-10-26,5,35,85
2694,1838-10-28,6,31,91
2695,1838-10-30,5,18,68
2696,1838-11-01,7,47,117
2697,1838-11-03,5,15,65
2698,1838-11-05,5,29,79
2699,1838-11-06,3,19,49
2700,1838-11-07,4,18,58
2701,1838-11-08,6,37,97
2702,1838-11-13,4,22,62
2703,1838-11-14,3,15,45
2704,1838-11-16,2,10,30
2705,1838-11-17,3,14,44
2706,1838-11-25,5,11,61
2707,1838-11-26,3,18,48
2708,1838-11-27,4,14,54
2709,1838-11-28,4,15,55
2710,1838-11-29,4,11,51
2711,1838-11-30,5,17,67
2712,1838-12-01,4,16,56
2713,1838-12-04,3,29,59
2714,1838-12-05,6,33,93
2715,1838-12-11,3,22,52
2716,1838-12-17,2,6,26
2717,1838-12-18,1,5,15
2718,1838-12-21,3,11,41
2719,1838-12-22,6,16,76
2720,1838-12-23,6,16,76
2721,1838-12-24,7,16,86
2722,1838-12-26,6,20,80
2723,1838-12-27,6,24,84
2724,1838-12-30,5,23,73
2725,1838-12-31,4,19,59
2726,1839-01-02,5,39,89
2727,1839-01-03,9,62,152
2728,1839-01-04,8,46,126
2729,1839-01-05,7,50,120
2730,1839-01-06,6,45,105
2731,1839-01-08,6,37,97
2732,1839-01-10,3,8,38
2733,1839-01-11,5,9,59
2734,1839-01-14,3,17,47
2735,1839-01-15,4,33,73
2736,1839-01-16,5,16,66
2737,1839-01-17,5,31,81
2738,1839-01-18,4,23,63
2739,1839-01-23,8,20,100
2740,1839-01-29,5,12,62
2741,1839-02-04,5,29,79
2742,1839-02-06,5,34,84
2743,1839-02-11,5,11,61
2744,1839-02-12,5,22,72
2745,1839-02-13,5,24,74
2746,1839-02-15,5,26,76
2747,1839-02-17,6,26,86
2748,1839-02-19,4,26,66
2749,1839-02-20,5,25,75
2750,1839-02-21,7,26,96
2751,1839-02-25,9,28,118
2752,1839-02-27,5,18,68
2753,1839-03-02,4,27,67
2754,1839-03-04,4,16,56
2755,1839-03-07,3,6,36
2756,1839-03-09,5,8,58
2757,1839-03-10,6,11,71
2758,1839-03-11,6,11,71
2759,1839-03-12,8,25,105
2760,1839-03-13,5,35,85
2761,1839-03-14,6,23,83
2762,1839-03-15,7,34,104
2763,1839-03-21,5,17,67
2764,1839-03-27,2,6,26
2765,1839-03-29,3,4,34
2766,1839-03-30,3,7,37
2767,1839-03-31,2,5,25
2768,1839-04-01,3,8,38
2769,1839-04-06,3,15,45
2770,1839-04-08,3,7,37
2771,1839-04-09,4,10,50
2772,1839-04-10,5,10,60
2773,1839-04-11,3,9,39
2774,1839-04-13,4,16,56
2775,1839-04-14,4,24,64
2776,1839-04-16,4,12,52
2777,1839-04-17,3,21,51
2778,1839-04-20,4,6,46
2779,1839-04-22,2,16,36
2780,1839-04-23,4,22,62
2781,1839-04-28,3,30,60
2782,1839-05-02,2,7,27
2783,1839-05-03,3,15,45
2784,1839-05-05,3,15,45
2785,1839-05-06,3,12,42
2786,1839-05-07,3,18,48
2787,1839-05-08,4,21,61
2788,1839-05-09,2,15,35
2789,1839-05-10,4,19,59
2790,1839-05-11,4,19,59
2791,1839-05-12,3,17,47
2792,1839-05-13,3,10,40
2793,1839-05-14,3,14,44
2794,1839-05-15,4,14,54
2795,1839-05-20,3,17,47
2796,1839-05-21,2,10,30
2797,1839-05-24,3,6,36
2798,1839-05-25,3,8,38
2799,1839-05-26,3,7,37
2800,1839-05-28,1,9,19
2801,1839-05-29,2,9,29
2802,1839-05-30,3,4,34
2803,1839-05-31,4,12,52
2804,1839-06-01,4,16,56
2805,1839-06-02,3,14,44
2806,1839-06-03,4,10,50
2807,1839-06-04,3,10,40
2808,1839-06-07,3,12,42
2809,1839-06-08,3,22,52
2810,1839-06-09,4,20,60
2811,1839-06-11,2,19,39
2812,1839-06-12,2,26,46
2813,1839-06-14,2,12,32
2814,1839-06-15,3,10,40
2815,1839-06-16,2,3,23
2816,1839-06-17,3,6,36
2817,1839-06-18,2,2,22
2818,1839-06-20,2,2,22
2819,1839-06-21,5,21,71
2820,1839-06-22,1,1,11
2821,1839-06-23,5,13,63
2822,1839-06-26,3,3,33
2823,1839-06-28,2,3,23
2824,1839-06-29,3,11,41
2825,1839-06-30,4,9,49
2826,1839-07-01,4,12,52
2827,1839-07-04,7,24,94
2828,1839-07-05,9,27,117
2829,1839-07-06,8,27,107
2830,1839-07-07,7,32,102
2831,1839-07-08,8,34,114
2832,1839-07-10,6,16,76
2833,1839-07-11,6,19,79
2834,1839-07-12,6,14,74
2835,1839-07-13,9,22,112
2836,1839-07-14,4,20,60
2837,1839-07-15,4,15,55
2838,1839-07-17,2,11,31
2839,1839-07-18,3,11,41
2840,1839-07-19,3,4,34
2841,1839-07-20,4,8,48
2842,1839-07-21,2,6,26
2843,1839-07-22,2,4,24
2844,1839-07-23,1,6,16
2845,1839-07-24,3,13,43
2846,1839-07-25,3,25,55
2847,1839-07-26,3,11,41
2848,1839-07-27,5,15,65
2849,1839-07-29,7,32,102
2850,1839-07-31,7,29,99
2851,1839-08-01,8,25,105
2852,1839-08-03,5,26,76
2853,1839-08-04,5,34,84
2854,1839-08-07,6,30,90
2855,1839-08-09,6,27,87
2856,1839-08-10,7,27,97
2857,1839-08-11,5,53,103
2858,1839-08-14,5,22,72
2859,1839-08-15,6,20,80
2860,1839-08-18,6,50,110
2861,1839-08-19,7,34,104
2862,1839-08-20,7,26,96
2863,1839-08-24,6,36,96
2864,1839-08-25,7,48,118
2865,1839-08-26,7,32,102
2866,1839-08-29,10,67,167
2867,1839-08-30,10,73,173
2868,1839-09-03,5,63,113
2869,1839-09-05,6,45,105
2870,1839-09-07,5,39,89
2871,1839-09-08,5,66,116
2872,1839-09-09,4,57,97
2873,1839-09-10,4,40,80
2874,1839-09-12,3,14,44
2875,1839-09-13,3,17,47
2876,1839-09-14,3,12,42
2877,1839-09-15,4,18,58
2878,1839-09-16,4,16,56
2879,1839-09-19,8,37,117
2880,1839-09-20,9,43,133
2881,1839-09-21,8,33,113
2882,1839-09-24,9,24,114
2883,1839-09-25,7,29,99
2884,1839-09-26,8,49,129
2885,1839-09-28,11,76,186
2886,1839-09-29,8,68,148
2887,1839-10-01,6,35,95
2888,1839-10-02,6,25,85
2889,1839-10-04,6,15,75
2890,1839-10-06,3,6,36
2891,1839-10-09,5,15,65
2892,1839-10-10,5,14,64
2893,1839-10-11,6,26,86
2894,1839-10-14,4,13,53
2895,1839-10-15,4,18,58
2896,1839-10-16,4,19,59
2897,1839-10-17,4,16,56
2898,1839-10-18,5,30,80
2899,1839-10-19,6,30,90
2900,1839-10-20,6,32,92
2901,1839-10-23,5,32,82
2902,1839-10-29,1,1,11
2903,1839-10-30,3,9,39
2904,1839-11-06,2,7,27
2905,1839-11-08,5,23,73
2906,1839-11-10,6,20,80
2907,1839-11-12,5,16,66
2908,1839-11-13,6,24,84
2909,1839-11-18,6,17,77
2910,1839-11-19,6,27,87
2911,1839-11-23,2,4,24
2912,1839-11-24,3,4,34
2913,1839-11-26,2,3,23
2914,1839-11-27,2,5,25
2915,1839-12-04,2,8,28
2916,1839-12-09,3,11,41
2917,1839-12-10,4,23,63
2918,1839-12-11,3,7,37
2919,1839-12-19,2,4,24
2920,1839-12-23,3,5,35
2921,1839-12-25,3,6,36
2922,1839-12-26,4,31,71
2923,1839-12-29,7,43,113
2924,1840-01-03,5,31,81
2925,1840-01-05,3,25,55
2926,1840-01-07,4,43,83
2927,1840-01-09,6,28,88
2928,1840-01-10,5,23,73
2929,1840-01-11,5,37,87
2930,1840-01-12,4,24,64
2931,1840-01-13,4,24,64
2932,1840-01-14,5,24,74
2933,1840-01-15,5,26,76
2934,1840-01-16,7,19,89
2935,1840-01-18,4,22,62
2936,1840-01-20,2,6,26
2937,1840-01-23,2,7,27
2938,1840-01-24,2,11,31
2939,1840-01-25,3,13,43
2940,1840-01-27,4,13,53
2941,1840-01-28,4,25,65
2942,1840-02-01,7,21,91
2943,1840-02-03,8,35,115
2944,1840-02-04,7,34,104
2945,1840-02-05,7,31,101
2946,1840-02-08,4,28,68
2947,1840-02-09,4,28,68
2948,1840-02-10,6,28,88
2949,1840-02-12,4,12,52
2950,1840-02-13,4,18,58
2951,1840-02-20,2,4,24
2952,1840-02-21,2,2,22
2953,1840-02-22,1,2,12
2954,1840-02-26,3,5,35
2955,1840-02-29,7,19,89
2956,1840-03-01,6,17,77
2957,1840-03-02,6,20,80
2958,1840-03-04,4,17,57
2959,1840-03-05,4,15,55
2960,1840-03-06,4,14,54
2961,1840-03-07,5,16,66
2962,1840-03-08,4,14,54
2963,1840-03-11,4,18,58
2964,1840-03-12,1,6,16
2965,1840-03-14,2,11,31
2966,1840-03-15,2,7,27
2967,1840-03-19,3,10,40
2968,1840-03-21,4,16,56
2969,1840-03-22,3,10,40
2970,1840-03-23,2,3,23
2971,1840-03-24,6,12,72
2972,1840-03-27,5,19,69
2973,1840-03-30,2,4,24
2974,1840-03-31,7,23,93
2975,1840-04-01,4,8,48
2976,1840-04-02,6,16,76
2977,1840-04-03,5,17,67
2978,1840-04-04,6,21,81
2979,1840-04-05,5,25,75
2980,1840-04-06,6,18,78
2981,1840-04-08,3,12,42
2982,1840-04-09,4,28,68
2983,1840-04-12,3,5,35
2984,1840-04-14,2,6,26
2985,1840-04-15,0,0,0
2986,1840-04-16,0,0,0
2987,1840-04-17,0,0,0
2988,1840-04-18,1,3,13
2989,1840-04-19,2,11,31
2990,1840-04-21,2,9,29
2991,1840-04-23,3,15,45
2992,1840-04-24,4,16,56
2993,1840-04-25,6,32,92
2994,1840-04-26,6,35,95
2995,1840-04-27,5,21,71
2996,1840-04-28,5,16,66
2997,1840-04-29,5,18,68
2998,1840-05-01,4,16,56
2999,1840-05-02,5,23,73
3000,1840-05-03,4,22,62
3001,1840-05-04,6,21,81
3002,1840-05-05,7,28,98
3003,1840-05-06,7,21,91
3004,1840-05-07,5,29,79
3005,1840-05-09,3,22,52
3006,1840-05-10,4,21,61
3007,1840-05-14,3,20,50
3008,1840-05-15,3,12,42
3009,1840-05-16,5,8,58
3010,1840-05-18,3,14,44
3011,1840-05-19,3,14,44
3012,1840-05-21,3,4,34
3013,1840-05-23,4,11,51
3014,1840-05-25,2,5,25
3015,1840-05-26,2,8,28
3016,1840-05-27,3,10,40
3017,1840-05-29,3,18,48
3018,1840-05-30,2,15,35
3019,1840-05-31,3,14,44
3020,1840-06-01,3,12,42
3021,1840-06-02,4,10,50
3022,1840-06-03,3,7,37
3023,1840-06-04,2,4,24
3024,1840-06-05,2,13,33
3025,1840-06-06,2,12,32
3026,1840-06-07,2,16,36
3027,1840-06-08,4,18,58
3028,1840-06-09,4,15,55
3029,1840-06-10,4,15,55
3030,1840-06-11,3,7,37
3031,1840-06-12,3,6,36
3032,1840-06-14,3,7,37
3033,1840-06-15,3,9,39
3034,1840-06-16,3,7,37
3035,1840-06-17,4,7,47
3036,1840-06-18,4,11,51
3037,1840-06-19,4,13,53
3038,1840-06-20,2,3,23
3039,1840-06-21,2,6,26
3040,1840-06-22,2,5,25
3041,1840-06-23,2,8,28
3042,1840-06-24,2,7,27
3043,1840-06-25,2,6,26
3044,1840-06-26,3,6,36
3045,1840-06-29,3,4,34
3046,1840-06-30,4,10,50
3047,1840-07-02,3,15,45
3048,1840-07-03,3,11,41
3049,1840-07-04,3,13,43
3050,1840-07-06,3,10,40
3051,1840-07-07,2,9,29
3052,1840-07-09,3,17,47
3053,1840-07-10,3,12,42
3054,1840-07-11,3,20,50
3055,1840-07-12,4,43,83
3056,1840-07-13,3,34,64
3057,1840-07-14,3,26,56
3058,1840-07-15,3,35,65
3059,1840-07-16,4,20,60
3060,1840-07-17,5,21,71
3061,1840-07-18,5,29,79
3062,1840-07-19,5,20,70
3063,1840-07-21,3,14,44
3064,1840-07-23,3,8,38
3065,1840-07-24,3,6,36
3066,1840-07-25,1,2,12
3067,1840-07-26,1,2,12
3068,1840-07-28,1,6,16
3069,1840-07-31,1,31,41
3070,1840-08-01,1,21,31
3071,1840-08-02,1,15,25
3072,1840-08-05,3,15,45
3073,1840-08-06,3,14,44
3074,1840-08-08,3,20,50
3075,1840-08-10,3,27,57
3076,1840-08-11,2,18,38
3077,1840-08-13,2,8,28
3078,1840-08-15,3,9,39
3079,1840-08-16,2,10,30
3080,1840-08-17,2,13,33
3081,1840-08-18,2,10,30
3082,1840-08-19,2,16,36
3083,1840-08-20,3,16,46
3084,1840-08-21,3,26,56
3085,1840-08-22,4,10,50
3086,1840-08-23,4,19,59
3087,1840-08-24,3,12,42
3088,1840-08-25,3,7,37
3089,1840-08-26,4,6,46
3090,1840-08-27,3,16,46
3091,1840-08-28,4,13,53
3092,1840-08-29,5,14,64
3093,1840-08-31,6,34,94
3094,1840-09-01,7,36,106
3095,1840-09-02,7,34,104
3096,1840-09-03,5,34,84
3097,1840-09-05,4,38,78
3098,1840-09-07,4,25,65
3099,1840-09-08,3,13,43
3100,1840-09-09,4,22,62
3101,1840-09-10,4,17,57
3102,1840-09-11,4,31,71
3103,1840-09-12,4,18,58
3104,1840-09-13,5,26,76
3105,1840-09-17,3,20,50
3106,1840-09-21,4,10,50
3107,1840-09-22,3,10,40
3108,1840-09-23,2,17,37
3109,1840-09-24,2,17,37
3110,1840-09-25,2,26,46
3111,1840-09-26,2,9,29
3112,1840-09-28,2,14,34
3113,1840-09-30,2,3,23
3114,1840-10-01,5,18,68
3115,1840-10-03,1,5,15
3116,1840-10-06,2,10,30
3117,1840-10-07,3,20,50
3118,1840-10-08,3,14,44
3119,1840-10-09,3,24,54
3120,1840-10-12,4,23,63
3121,1840-10-13,4,22,62
3122,1840-10-14,4,15,55
3123,1840-10-17,5,29,79
3124,1840-10-20,2,17,37
3125,1840-10-22,3,21,51
3126,1840-10-23,2,18,38
3127,1840-10-26,2,5,25
3128,1840-10-27,2,2,22
3129,1840-10-28,3,5,35
3130,1840-10-29,1,1,11
3131,1840-10-31,3,9,39
3132,1840-11-01,3,16,46
3133,1840-11-02,3,19,49
3134,1840-11-03,3,33,63
3135,1840-11-04,3,16,46
3136,1840-11-05,2,14,34
3137,1840-11-06,2,11,31
3138,1840-11-08,1,9,19
3139,1840-11-09,1,9,19
3140,1840-11-10,2,8,28
3141,1840-11-11,2,12,32
3142,1840-11-12,2,3,23
3143,1840-11-15,3,12,42
3144,1840-11-17,3,12,42
3145,1840-11-18,3,13,43
3146,1840-11-20,5,11,61
3147,1840-11-22,5,20,70
3148,1840-11-25,3,25,55
3149,1840-11-26,4,15,55
3150,1840-11-27,3,12,42
3151,1840-11-29,2,9,29
3152,1840-12-02,1,3,13
3153,1840-12-03,3,12,42
3154,1840-12-04,3,19,49
3155,1840-12-05,4,15,55
3156,1840-12-06,3,9,39
3157,1840-12-07,1,5,15
3158,1840-12-08,1,3,13
3159,1840-12-09,2,3,23
3160,1840-12-13,3,9,39
3161,1840-12-14,3,11,41
3162,1840-12-15,3,9,39
3163,1840-12-16,4,17,57
3164,1840-12-17,4,6,46
3165,1840-12-18,5,23,73
3166,1840-12-21,4,10,50
3167,1840-12-23,3,11,41
3168,1840-12-24,3,8,38
3169,1840-12-25,3,9,39
3170,1840-12-26,4,13,53
3171,1840-12-27,4,14,54
3172,1840-12-28,3,9,39
3173,1840-12-29,3,14,44
3174,1841-01-03,2,4,24
3175,1841-01-10,3,11,41
3176,1841-01-12,3,14,44
3177,1841-01-13,3,17,47
3178,1841-01-19,1,1,11
3179,1841-01-21,0,0,0
3180,1841-01-22,0,0,0
3181,1841-01-23,0,0,0
3182,1841-01-24,0,0,0
3183,1841-01-25,0,0,0
3184,1841-01-26,2,14,34
3185,1841-01-28,2,4,24
3186,1841-01-29,3,6,36
3187,1841-01-31,2,15,35
3188,1841-02-01,3,15,45
3189,1841-02-02,2,10,30
3190,1841-02-04,2,14,34
3191,1841-02-05,1,11,21
3192,1841-02-06,1,8,18
3193,1841-02-07,1,1,11
3194,1841-02-10,1,1,11
3195,1841-02-11,2,2,22
3196,1841-02-14,3,17,47
3197,1841-02-15,4,9,49
3198,1841-02-16,4,18,58
3199,1841-02-18,2,2,22
3200,1841-02-19,2,2,22
3201,1841-02-20,2,9,29
3202,1841-02-24,1,10,20
3203,1841-02-25,1,6,16
3204,1841-02-27,1,6,16
3205,1841-02-28,1,4,14
3206,1841-03-01,0,0,0
3207,1841-03-02,1,5,15
3208,1841-03-03,1,2,12
3209,1841-03-04,1,5,15
3210,1841-03-05,0,0,0
3211,1841-03-07,4,10,50
3212,1841-03-08,4,15,55
3213,1841-03-10,4,21,61
3214,1841-03-11,3,17,47
3215,1841-03-12,3,13,43
3216,1841-03-15,3,5,35
3217,1841-03-17,2,11,31
3218,1841-03-18,1,2,12
3219,1841-03-19,2,10,30
3220,1841-03-21,1,1,11
3221,1841-03-22,2,7,27
3222,1841-03-23,0,0,0
3223,1841-03-26,2,7,27
3224,1841-03-27,2,12,32
3225,1841-03-31,1,2,12
3226,1841-04-01,1,2,12
3227,1841-04-02,2,5,25
3228,1841-04-03,2,8,28
3229,1841-04-04,2,11,31
3230,1841-04-05,2,15,35
3231,1841-04-06,2,21,41
3232,1841-04-07,2,23,43
3233,1841-04-08,2,27,47
3234,1841-04-09,3,27,57
3235,1841-04-10,2,12,32
3236,1841-04-11,2,16,36
3237,1841-04-14,4,11,51
3238,1841-04-15,5,14,64
3239,1841-04-17,2,4,24
3240,1841-04-20,1,3,13
3241,1841-04-21,1,2,12
3242,1841-04-22,1,3,13
3243,1841-04-23,2,9,29
3244,1841-04-24,2,18,38
3245,1841-04-25,4,15,55
3246,1841-04-26,3,12,42
3247,1841-04-27,3,13,43
3248,1841-04-28,3,8,38
3249,1841-04-29,4,10,50
3250,1841-04-30,3,14,44
3251,1841-05-01,4,47,87
3252,1841-05-02,3,31,61
3253,1841-05-04,4,23,63
3254,1841-05-05,4,24,64
3255,1841-05-06,3,42,72
3256,1841-05-07,3,33,63
3257,1841-05-08,4,20,60
3258,1841-05-09,4,25,65
3259,1841-05-10,4,13,53
3260,1841-05-11,4,21,61
3261,1841-05-12,4,25,65
3262,1841-05-13,3,11,41
3263,1841-05-14,5,14,64
3264,1841-05-15,5,14,64
3265,1841-05-16,4,14,54
3266,1841-05-19,3,7,37
3267,1841-05-20,2,2,22
3268,1841-05-21,4,7,47
3269,1841-05-23,3,3,33
3270,1841-05-24,3,3,33
3271,1841-05-25,3,4,34
3272,1841-05-26,4,6,46
3273,1841-05-27,4,22,62
3274,1841-05-28,4,19,59
3275,1841-05-29,4,21,61
3276,1841-05-30,4,31,71
3277,1841-05-31,4,30,70
3278,1841-06-02,4,21,61
3279,1841-06-03,4,18,58
3280,1841-06-04,3,10,40
3281,1841-06-05,3,5,35
3282,1841-06-06,3,6,36
3283,1841-06-07,3,5,35
3284,1841-06-10,4,5,45
3285,1841-06-11,4,5,45
3286,1841-06-14,4,5,45
3287,1841-06-16,4,13,53
3288,1841-06-17,4,14,54
3289,1841-06-18,3,8,38
3290,1841-06-19,3,7,37
3291,1841-06-20,5,9,59
3292,1841-06-22,3,10,40
3293,1841-06-23,4,23,63
3294,1841-06-24,4,23,63
3295,1841-06-25,3,12,42
3296,1841-06-27,3,7,37
3297,1841-06-28,3,19,49
3298,1841-06-29,3,12,42
3299,1841-06-30,4,16,56
3300,1841-07-01,3,9,39
3301,1841-07-02,3,7,37
3302,1841-07-03,3,9,39
3303,1841-07-04,4,16,56
3304,1841-07-05,4,11,51
3305,1841-07-06,3,5,35
3306,1841-07-09,3,17,47
3307,1841-07-10,3,9,39
3308,1841-07-11,3,10,40
3309,1841-07-14,1,3,13
3310,1841-07-15,1,5,15
3311,1841-07-16,1,2,12
3312,1841-07-17,0,0,0
3313,1841-07-18,1,1,11
3314,1841-07-19,1,1,11
3315,1841-07-20,2,3,23
3316,1841-07-21,2,3,23
3317,1841-07-23,1,2,12
3318,1841-07-25,3,11,41
3319,1841-07-26,2,6,26
3320,1841-07-27,3,6,36
3321,1841-07-29,0,0,0
3322,1841-07-30,0,0,0
3323,1841-07-31,1,3,13
3324,1841-08-01,2,6,26
3325,1841-08-02,2,7,27
3326,1841-08-04,1,1,11
3327,1841-08-05,1,1,11
3328,1841-08-06,1,1,11
3329,1841-08-07,1,1,11
3330,1841-08-08,1,2,12
3331,1841-08-09,2,2,22
3332,1841-08-10,3,7,37
3333,1841-08-11,4,9,49
3334,1841-08-13,4,14,54
3335,1841-08-14,2,7,27
3336,1841-08-15,2,9,29
3337,1841-08-16,2,8,28
3338,1841-08-17,2,10,30
3339,1841-08-18,2,7,27
3340,1841-08-19,3,8,38
3341,1841-08-20,2,10,30
3342,1841-08-21,1,7,17
3343,1841-08-23,2,8,28
3344,1841-08-24,3,15,45
3345,1841-08-25,3,23,53
3346,1841-08-26,2,21,41
3347,1841-08-27,2,21,41
3348,1841-08-28,3,20,50
3349,1841-08-29,3,6,36
3350,1841-08-30,4,7,47
3351,1841-08-31,4,9,49
3352,1841-09-01,3,12,42
3353,1841-09-02,2,4,24
3354,1841-09-03,3,8,38
3355,1841-09-04,2,4,24
3356,1841-09-05,1,2,12
3357,1841-09-06,1,1,11
3358,1841-09-07,3,9,39
